station_complex_id,station_complex,borough,latitude,longitude,ridership,ridership_per_day,scaled_marker_size,locked_marker_size,ridership_bin
N060,Times Sq-42 St /42 St /Bryant Pk /5 Av ,M,40.75731,-73.981964,72245582,135545.0,50.0,1,"Very High (75,000+)"
R238,Grand Central-42 St ,M,40.751778,-73.976845,39038269,73243.0,27.018,1,"High (50,000 - 75,000)"
A022,34 St-Herald Sq ,M,40.749718,-73.98782,32986541,61888.0,22.8293,1,"High (50,000 - 75,000)"
A034,14 St-Union Sq ,M,40.735737,-73.98995,29000026,54409.0,20.0705,1,"High (50,000 - 75,000)"
N095,Fulton St ,M,40.710373,-74.00657,24128989,45270.0,16.6993,1,"Medium (10,000 - 50,000)"
N070,34 St-Penn Station ,M,40.75229,-73.99339,23088300,43318.0,15.9792,1,"Medium (10,000 - 50,000)"
N049,59 St-Columbus Circle ,M,40.768295,-73.981735,21849875,40994.0,15.1219,1,"Medium (10,000 - 50,000)"
R135,34 St-Penn Station ,M,40.750374,-73.99106,21411803,40172.0,14.8187,1,"Medium (10,000 - 50,000)"
R525,74-Broadway /Jackson Hts-Roosevelt Av ,Q,40.74685,-73.891335,18998518,35644.0,13.1484,1,"Medium (10,000 - 50,000)"
R533,Flushing-Main St ,Q,40.7596,-73.83003000000001,18900070,35460.0,13.0805,1,"Medium (10,000 - 50,000)"
N094,Chambers St /WTC /Park Pl /Cortlandt ,M,40.71411,-74.00858000000001,16602609,31149.0,11.4903,1,"Medium (10,000 - 50,000)"
A002,Lexington Av /59 St ,M,40.76266,-73.96725500000001,15714438,29483.0,10.8757,1,"Medium (10,000 - 50,000)"
N305,Lexington Av-53 St /51 St ,M,40.757553,-73.96905500000001,15526811,29131.0,10.7459,1,"Medium (10,000 - 50,000)"
N500,47-50 Sts-Rockefeller Center ,M,40.758663,-73.98133,15493289,29068.0,10.7226,1,"Medium (10,000 - 50,000)"
N078,14 St /8 Av ,M,40.740894,-74.00169,14873360,27905.0,10.2936,1,"Medium (10,000 - 50,000)"
N512,14 St /6 Av ,M,40.738228,-73.99620999999999,14872385,27903.0,10.2929,1,"Medium (10,000 - 50,000)"
